,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
4CMKihi,7,-84.38379756837581,8.391720651550543,2.6379985143426072,0.024476315494627216,11.309800943990748,2.361250381489288,4EM.CD69+,SK
4EMKihi,8,-84.65614154729136,7.678039607573552,2.9103424932581596,0.04985824723323982,11.993896713554118,3.3267438089014427,4EM.CD69+,SK
4NaiveKilo,9,-85.34885359511651,7.487133452730816,3.6030545410833383,0.015921592441938564,11.076913283453736,2.5092725249961108,4EM.CD69+,SK
4NaiveKimid,10,-85.50749815216935,7.522239766578949,3.7616990981361544,0.012855273393831754,10.236811911070694,2.544035666434442,4EM.CD69+,SK
4NaiveKihi,11,-86.75800576157249,7.482911061409652,5.012206707539313,0.006407330320340352,10.449310080570733,2.807533787429084,4EM.CD69+,SK
,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,population,organ
4EMKimid,0,-93.82182728303243,7.468449050488715,0.0,0.30511602111240127,12.79665587812872,0.0,4EM.CD69+,LP
4EMKilo,1,-93.89898853510753,7.110610493663785,0.07716125207510593,0.28285948260482124,12.63737427707895,0.37079302830334293,4EM.CD69+,LP
4EMKihi,2,-94.6224164436008,5.927611357802192,0.8005891605683759,0.20224650981017794,12.537028190095548,2.1663171886584487,4EM.CD69+,LP
4CMKilo,3,-95.20277411872075,6.076607837896759,1.38094683568832,0.08040600275678134,12.565644120082737,1.3522362927430083,4EM.CD69+,LP
4CMKihi,4,-95.8011856102992,5.94336763783113,1.979358327266766,0.061798045302400004,12.739413782640696,1.9801731200381676,4EM.CD69+,LP
4CMKimid,5,-96.49735273155481,7.494536720074464,2.675525448522384,0.022155672512319768,12.658499960368642,1.3005082141398365,4EM.CD69+,LP
69Kimid,6,-97.49319582992514,6.667616501693885,3.6713685468927073,0.010393489901046738,12.804192682306944,1.7438824866585545,4EM.CD69+,LP
69Kilo,7,-97.53159297075999,6.690874859514153,3.709765687727552,0.010095776923157253,12.784875613266419,1.673184995867509,4EM.CD69+,LP
69Kihi,8,-98.26385574636764,6.426330678641634,4.442028463335224,0.006447148129443718,12.68702288651123,1.9619023419988346,4EM.CD69+,LP
4NaiveKilo,9,-98.60872334484094,5.846362741243539,4.786896061808522,0.009093255204895283,12.657656834367637,2.7485290931891235,4EM.CD69+,LP
4NaiveKimid,10,-99.12493846304939,6.0706931394787205,5.303111180016948,0.004936912621311484,12.823283099852706,2.7373455578113277,4EM.CD69+,LP
4NaiveKihi,11,-99.41819524584757,5.552964768363196,5.596367962815136,0.004451683121243909,12.770136473524868,2.6844448278524515,4EM.CD69+,LP
